rollno,first_name,class,section,score
1,Moshe,4,B,61
2,Lorianne,11,A,86
3,Genevra,4,A,97
4,Wadsworth,12,A,96
5,Emlen,3,B,56
6,Fin,4,A,49
7,Bondon,12,B,73
8,Haslett,11,B,40
9,Borden,9,B,69
10,Lucky,2,B,45
11,Anthea,12,B,80
12,Tabatha,12,B,25
13,Basilio,6,A,66
14,Belia,6,B,2
15,Emanuele,8,B,70
16,Scarface,11,A,96
17,Lara,2,B,63
18,Gypsy,6,A,3
19,Laina,9,B,40
20,Mickie,12,B,12
21,Barbee,5,A,89
22,Alison,11,A,91
23,Sebastian,1,B,88
24,Karissa,11,B,9
25,Barnard,8,B,15
26,Mickey,3,A,27
27,Ardelis,8,B,46
28,Fawnia,5,A,84
29,Jannelle,6,B,18
30,Teodora,11,A,51
31,Anya,3,A,85
32,Elizabeth,9,A,69
33,Amara,10,A,93
34,Brant,4,B,62
35,Clarice,5,B,94
36,Albina,3,A,92
37,Marni,2,B,10
38,Adelind,11,A,32
39,Roxanna,2,A,67
40,Mada,11,A,46
41,Mitchel,8,B,74
42,Bowie,7,B,80
43,Basil,12,A,46
44,Emlyn,7,B,81
45,Ranique,2,A,52
46,Raphael,1,A,52
47,Bram,11,B,26
48,Theadora,11,A,37
49,Quinlan,9,A,99
50,Urbanus,6,A,81
51,Row,3,A,89
52,Ariadne,4,A,65
53,Fleurette,11,A,50
54,Edithe,12,B,65
55,Brana,4,A,39
56,Ginelle,2,B,64
57,Gail,11,A,15
58,Sher,6,A,3
59,Willis,9,A,23
60,Sigismund,2,B,59
61,Aksel,12,B,48
62,Shoshana,5,A,39
63,Homerus,10,A,32
64,Ashlen,5,A,40
65,Saundra,10,B,51
66,Maryjo,12,B,84
67,Thorpe,3,A,47
68,Ebenezer,1,A,42
69,Spence,5,B,13
70,Dorris,6,B,78
71,Dyna,5,B,69
72,Sonnie,3,B,83
73,Kara-lynn,11,A,37
74,Domingo,10,A,48
75,Barbaraanne,5,A,49
76,Cortie,11,B,58
77,Vittorio,6,B,94
78,Elsinore,6,A,1
79,Liuka,6,A,64
80,Schuyler,9,A,8
81,Eleonora,11,B,100
82,Heath,7,B,8
83,Jamaal,3,A,28
84,Lydie,8,A,15
85,Dell,6,A,46
86,Betti,5,A,41
87,Kingston,1,B,62
88,Rachele,4,B,71
89,Kelly,9,A,41
90,Minne,8,B,51
91,Orelie,8,A,57
92,Krisha,7,B,66
93,Pearl,11,A,2
94,Fionnula,2,B,16
95,Samara,3,B,57
96,Glyn,4,B,39
97,Krystalle,8,B,5
98,Jeane,11,B,92
99,Sanson,4,B,88
